"","comun_opt","divida_aberta","compromisso_2023","cumpriu_compromisso_core_budget","cumpriu_compromisso_itl","parties","pib2021_annualperc","pib2021_percapita","co2_emissions2019","grau","intermediacao"
"1",1,NA,NA,NA,NA,0.444444444444444,NA,NA,NA,40.6666666666667,35.2414044811177
"2",2,0.274193548387097,1,0.580645161290323,NA,1,NA,NA,NA,92,5.74522360479337
"3",3,0.193548387096774,1,0.806451612903226,1,0.967741935483871,NA,NA,NA,89.4838709677419,14.2891219229101
